video_title,video_url,category,like_count,summary,comment_text
iPhone 17 Pro MagSafe Camera Grip & Battery - Telesin Master Grip Unboxing,https://www.youtube.com/watch?v=6w8cmbFoza4,Suggestion,0,要是能为未来的iPhone 17 Pro推出一款MagSafe相机配件就太棒了！它可以设计成一个摄影手柄，既能提升拍照时的握持手感，又提供了变焦、切换模式和快门等便捷的实体按键。这个手柄本身还是一个充电宝，可以随时给手机补充电量。如果再配上像Telesin那样的磁吸补光灯，那简直就是一套完美的移动摄影组合！,"A MagSafe camera attachment for the iPhone 17 Pro! You don't have to use the case, but with this grip, it provides better handling while taking pictures and offers buttons for ease of access. Like zoom, switch modes, snap pics, etc. It's also a battery bank, allowing you to charge your phone simultaneously. Telesin also makes a MagSafe light which makes this the perfect combo!"
iPhone 17 Pro MagSafe Camera Grip & Battery - Telesin Master Grip Unboxing,https://www.youtube.com/watch?v=6w8cmbFoza4,Positive Feedback,0,视频做得真棒，太喜欢了！,Nice video❤
iPhone 17 Pro vs Xiaomi 15 Ultra Video Zoom Test!,https://www.youtube.com/watch?v=IQQD_HDIgTs,Other,1,谁是赢家，我想大家都有目共睹。,I think we can all see the clear winner.
iPhone 17 Pro vs Xiaomi 15 Ultra Video Zoom Test!,https://www.youtube.com/watch?v=IQQD_HDIgTs,Negative Sentiment,1,今年的 iPhone 17 Pro 和 Max 相機表現真令人失望，拍出來的影像不僅模糊，色彩也顯得平淡無光。,iPhone 17 pro and max cameras are really bad this year. The image and video are very blurry and washed out
iPhone 17 Pro vs Xiaomi 15 Ultra Video Zoom Test!,https://www.youtube.com/watch?v=IQQD_HDIgTs,Positive Feedback,0,看完您的视频，我心里的石头总算落地了，看来当初入手Ultra果然没错！😊,"Вы меня успокоили, я не прогадал что  взял ультра 😊"
iPhone 17 Pro vs Xiaomi 15 Ultra Video Zoom Test!,https://www.youtube.com/watch?v=IQQD_HDIgTs,Question,0,原來你是在越南啊？,You're in Vietnam huh?
iPhone 17 Pro vs Xiaomi 15 Ultra Camera Comparison,https://www.youtube.com/watch?v=9e5CfiQj3FQ,Other,7,我的小米15 Ultra拍照效果更胜一筹。我拿它和我朋友的iPhone 17 Pro Max对比过了，无论是白天还是夜晚，小米都全面胜出。不过，这也取决于你小米15的后期模式如何设置。,"My Xiaomi 15 ultra takes better photos. I've already made a comparison against a friend of mine's iPhone 17 pro max and my Xiaomi surpassed it both day and night, but it depends on the post mode of your Xiaomi 15."
iPhone 17 Pro vs Xiaomi 15 Ultra Camera Comparison,https://www.youtube.com/watch?v=9e5CfiQj3FQ,Other,3,小米手机的「徕卡生动」模式有更强的HDR和动态范围表现，而且人像模式里的「大师镜头」其实和「生动」模式的效果是一样的。至于「徕卡经典」模式，它的风格则更接近传统相机，不像一般的手机摄影。,"Vibrant mode on Xiaomi  has more aggressive HDR  and dynamic range, also Master mode in portrait is the same as vibrant.., Authentic is closer to camera style much more than a phone ..."
iPhone 17 Pro vs Xiaomi 15 Ultra Camera Comparison,https://www.youtube.com/watch?v=9e5CfiQj3FQ,Positive Feedback,2,你来过越南了呀！❤,You were in Việt Nam. ❤
iPhone 17 Pro vs Xiaomi 15 Ultra Camera Comparison,https://www.youtube.com/watch?v=9e5CfiQj3FQ,Question,3,想看看这款手机和 vivo x300 pro 的对比评测。,Can you compare with vivo x300 pro?
