video_title,video_url,category,like_count,summary,comment_text
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Other,23550,这看起来就像70年代的人想象中2025年汽车的样子。,It looks like how people in the 70's imagined 2025 cars would look like
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,9543,当你说它不是真的时候，我好害怕那辆车会消失……还以为是AI之类的东西。,i was so scared that the car was gonna disapear when you said it was not real... thought it would be ai or something
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,2608,在我看来，“英里/后备箱”是一个有效的计量单位。,"""Miles per trunk"" is a valid unit of measurement as far as I'm concerned."
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,415,我不仅会买一辆，而且我已经要买了！当然，要等他们开始生产（我是一名Aptera的加速计划支持者）。这绝对是我见过的最酷的交通概念。如果你每天的行驶里程不超过40英里，那它对地球几乎没有影响。太酷了。,"Not only would I buy one, I am buying one! That is, once they start production (I'm an Aptera Accelerator).  This is the coolest transportation idea I've ever seen - by far. Almost no impact to the planet if you don't drive more than 40 miles a day. Too cool."
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,8862,竟然让一个被绑架的人来展示空间 😂😂,Not the kidnapped guy to show the space 😂😂
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,875,1:00 当你被绑架，但绑匪的论点却非常有道理时。,1:00 When you're being kidnapped but your kidnapper is making some pretty valid points.
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,1920,我真的很喜歡這個設計。特別是它甚至不被歸類為汽車，這點讓我的大腦更容易接受它的奇特之處。,I genuinely like the design. Especially the fact that it doesn't even classify as a car. It makes my brain accept the eccentricity more.
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,31,我预订了！我已经为我的 Aptera 做好准备了！我还买了一个小比例的模型！我很期待亲眼看到帐篷和宠物附加组件。我也很喜欢“维修权”这一点。,I have a reservation! I'm ready for my Aptera! I bought a small scale figure! I'm excited to see the tent and pet add-ons in petson. Love the right to repair aspect too.
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Other,845,问题不在于（人们的）兴趣。他们已经有大概4万多份预购订单了。问题完全在于资金。我为他们祈祷。我是一名早期的预购者，也是一名加速计划的支持者。,"The problem isn’t interest. They have like 40,000+ pre-orders.

The problem is entirely money. Crossing my fingers. I’m an early pre-order, and accelerator."
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,328,作为一个澳大利亚人，我很想用这个当日常代步车。,"As an Australian, I would love this for a daily driver."
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Suggestion,1906,建议每次评测时都让迈尔斯待在后备箱里。如果在每个视频里，一打开后备箱就能看到迈尔斯在里面悠闲地待着，那会非常搞笑。,Petition to have Miles in every car's trunk during the review. Would be hilarious if in every video when the trunk opens its just Miles chilling
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Suggestion,19,生产这个产品的公司刚在2025年10月16日成为一家上市公司（我写这条评论时是4天前），现在每股只要5美元。我强烈建议大家买入一些，因为随着这家公司的知名度越来越高并开始生产，股价很可能会不断上涨，购买股票也能帮助他们实现量产。,The company that makes this just came a public traded company on October 16 2025 (4 days ago as of me writing this comment) and it’s only $5 per share rn I would definitely highly suggest buying some up as it’s likely too grow more and more when this company gets more and more known and starts production buying shares will also help them reach production
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,85,三年前就预订了一个，我非常喜欢它的愿景和技术。希望他们能成功冲过终点线。,"Reserved one three years ago, I just loved the vision and the tech. Hoping they cross the finish line."
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,688,我的意思是，设计怎么样都无所谓，我宁愿在街上看到这些，也不想看到那种被称作卡车、盲区多得像个水泥砖子弹的东西。,"I mean, design is whatever, I'd rather see these on the street than a blind spot prone cinderblock bullet known as a truck"
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,24,我已经在购买名单上了，所以是的，我会买这辆车。,"I am on the buyers list so yes, I would buy this vehicle."
The Solar Powered Aptera EV 👀,https://www.youtube.com/watch?v=rZMMySvsKAA,Positive Feedback,458,我很高兴终于看到有人将空气动力学用于提高效率，而不仅仅是为了追求最高速度。,"I'm really glad to see someone finally use aerodynamics for efficiency, and not just top speed"
